RK,NAME,TEAM,SALARY,2015
293,"Terrence Jones, PF",Houston Rockets,"$1,618,680",2015
294,"Shane Larkin, G",New York Knicks,"$1,606,080",2015
295,"Tyler Ennis, G",Phoenix Suns,"$1,590,720",2015
296,"Andrew Nicholson, F",Orlando Magic,"$1,545,840",2015
297,"Sergey Karasev, SG",Brooklyn Nets,"$1,533,840",2015
298,"Gary Harris, SG",Denver Nuggets,"$1,519,200",2015
299,"Ronny Turiaf, C",Minnesota Timberwolves,"$1,500,000",2015
300,"Miroslav Raduljica, C",Minnesota Timberwolves,"$1,500,000",2015
RK,NAME,TEAM,SALARY,2015
301,"Donatas Motiejunas, F",Houston Rockets,"$1,483,920",2015
302,"Evan Fournier, SG",Orlando Magic,"$1,483,920",2015
303,"Tony Snell, SF",Chicago Bulls,"$1,472,400",2015
304,"Bruno Caboclo, SF",Toronto Raptors,"$1,458,360",2015
305,"Scotty Hopson, SG",Newzealand New Zealand Breakers,"$1,450,878",2015
306,"Willie Green, SG",Orlando Magic,"$1,448,490",2015
307,"Lamar Odom, PF",New York Knicks,"$1,448,490",2015
308,"Mike James, PG",Chicago Bulls,"$1,448,490",2015
309,"Jared Sullinger, C",Boston Celtics,"$1,424,520",2015
310,"Gorgui Dieng, C",Minnesota Timberwolves,"$1,413,480",2015
RK,NAME,TEAM,SALARY,2015
311,"Mitch McGary, PF",Oklahoma City Thunder,"$1,400,040",2015
312,"Victor Claver, PF",Portland Trail Blazers,"$1,370,000",2015
313,"Mason Plumlee, PF",Brooklyn Nets,"$1,357,080",2015
314,"Jordan Adams, SG",Memphis Grizzlies,"$1,344,120",2015
315,"Melvin Ely, C",Washington Wizards,"$1,316,809",2015
316,"John Jenkins, G",Atlanta Hawks,"$1,312,920",2015
317,"Josh Powell, PF",Milwaukee Bucks,"$1,310,286",2015
318,"Ronnie Brewer, SF",Chicago Bulls,"$1,310,286",2015
319,"Solomon Hill, SF",Indiana Pacers,"$1,302,840",2015
320,"Rodney Hood, SF",Utah Jazz,"$1,290,360",2015
RK,NAME,TEAM,SALARY,2015
321,"Alan Anderson, SG",Brooklyn Nets,"$1,276,061",2015
322,"Tim Hardaway Jr., SG",New York Knicks,"$1,250,640",2015
323,"Hasheem Thabeet, C",Detroit Pistons,"$1,250,000",2015
324,"Pero Antic, PF",Atlanta Hawks,"$1,250,000",2015
325,"Shabazz Napier, PG",Miami Heat,"$1,238,640",2015
326,"Shawne Williams, SF",Miami Heat,"$1,227,985",2015
327,"Aaron Gray, C",Detroit Pistons,"$1,227,985",2015
328,"Shavlik Randolph, PF",Phoenix Suns,"$1,227,985",2015
329,"Tony Wroten, SG",Philadelphia 76ers,"$1,210,080",2015
330,"Reggie Bullock, SF",Phoenix Suns,"$1,200,720",2015
RK,NAME,TEAM,SALARY,2015
331,"Clint Capela, C",Houston Rockets,"$1,189,200",2015
332,"Miles Plumlee, C",Phoenix Suns,"$1,169,880",2015
333,"Andre Roberson, SG",Oklahoma City Thunder,"$1,160,880",2015
334,"P.J. Hairston, SF",Charlotte Hornets,"$1,149,720",2015
335,"Brandon Rush, F",Golden State Warriors,"$1,145,685",2015
336,"Hilton Armstrong, PF",Golden State Warriors,"$1,145,685",2015
337,"Cartier Martin, PF",Detroit Pistons,"$1,145,685",2015
338,"Arnett Moultrie, PF",New York Knicks,"$1,136,160",2015
339,"Perry Jones, SF",Oklahoma City Thunder,"$1,129,200",2015
340,"Rudy Gobert, C",Utah Jazz,"$1,127,400",2015
RK,NAME,TEAM,SALARY,2015
341,"Marquis Teague, G",Memphis Grizzlies,"$1,120,920",2015
342,"Festus Ezeli, C",Golden State Warriors,"$1,112,880",2015
343,"Archie Goodwin, SG",Phoenix Suns,"$1,112,280",2015
344,"CJ Wilcox, G",LA Clippers,"$1,109,760",2015
345,"Nemanja Nedovic, PG",Golden State Warriors,"$1,104,240",2015
346,"Damjan Rudez, SF",Indiana Pacers,"$1,100,000",2015
347,"Kyle Anderson, SF",San Antonio Spurs,"$1,093,680",2015
348,"Kyle Singler, F",Oklahoma City Thunder,"$1,090,000",2015
349,"Xavier Henry, SG",Los Angeles Lakers,"$1,082,000",2015
350,"Robert Covington, PF",Philadelphia 76ers,"$1,000,000",2015
RK,NAME,TEAM,SALARY,2015
351,"Ed Davis, C",Los Angeles Lakers,"$981,084",2015
352,"Al-Farouq Aminu, PF",Dallas Mavericks,"$981,084",2015
353,"Garrett Temple, SG",Washington Wizards,"$981,084",2015
354,"Luke Babbitt, F",New Orleans Pelicans,"$981,084",2015
355,"Alexis Ajinca, C",New Orleans Pelicans,"$981,084",2015
356,"Jon Leuer, F",Memphis Grizzlies,"$967,500",2015
357,"Josh Harrellson, C",Washington Wizards,"$948,163",2015
358,"Greg Smith, PF",Dallas Mavericks,"$948,163",2015
359,"Jeremy Tyler, C",Houston Rockets,"$948,163",2015
360,"Donald Sloan, G",Indiana Pacers,"$948,163",2015
RK,NAME,TEAM,SALARY,2015
361,"Joey Dorsey, PF",Houston Rockets,"$948,163",2015
362,"E'Twaun Moore, SG",Chicago Bulls,"$948,163",2015
363,"Jeffery Taylor, SF",Charlotte Hornets,"$915,243",2015
364,"Jason Maxiell, PF",Charlotte Hornets,"$915,243",2015
365,"Jannero Pargo, PG",Charlotte Hornets,"$915,243",2015
366,"Omri Casspi, F",Sacramento Kings,"$915,243",2015
367,"Ryan Hollins, C",Sacramento Kings,"$915,243",2015
368,"Lavoy Allen, F",Indiana Pacers,"$915,243",2015
369,"Wesley Johnson, F",Los Angeles Lakers,"$915,243",2015
370,"Drew Gooden, PF",Washington Wizards,"$915,243",2015
RK,NAME,TEAM,SALARY,2015
371,"Henry Sims, C",Philadelphia 76ers,"$915,243",2015
